term,definition
NIC,NATO Infrastructure Committee
NIC,NATIONAL INTELLIGENCE CELL
NICAC,NATO Intelligence Capabilities Analysis Criteria 
NICAR,NATO Intelligence Capabilities Analysis Report 
NICRM,NATO Intelligence Capability Roadmap 
NICS ,NATO Integrated Communications System 
NICS-COA,NICS CENTRAL OPERATING AUTHORITY
NICSMA,NICS MANAGEMENT AGENCY
NIDB,NATO INTELLIGENCE DATA BASE
NIDSL,NATO Intelligence Deficiencies and Solutions List 
NIDTS,NATO INITIAL DATA TRANSFER SYSTEM
NIDWM,NATO Intelligence Development Work Matrix 
NIETI,NATO Interoperability Environment Test Infrastructure
NIMUP,Netherlands Industry MALE UAV Platform
NIMS,NATO Influence Minesweeping System
NIPD,NATO INTEROPERABILITY PLANNING DOCUMENT
NIPIT-WG,NATO Iraqi Public Information Training Working Group
NIRIS,NATO Interoperability Recognized Air Picture Information System
NIRL,NATO Intelligence Requirements List 
NIS,Newly Independent States
NISEG,NCS Implementation Steering Executive Group
NISG,NCS Implementation Steering Group
NJOC,National Joint Operations Center
NJUO,NATO Joint Urban Operations
NLCC,NATIONAL LOGISTICS CO-ORDINATION CELL
NLR,National Liaison Representatives
NLT,NATO LIAISON TEAM
NLT,NOT LATER THAN
NLW,Non-Lethal Weapon
NMA,National Military Authority
NMA,NATO Military Authority
NMA SPO,NATO Military Authorities Strategic Priorities and Objectives
NMAS,NATO MILITARY AUTHORITIES
NMCCIS,NATO MILITARY COMMAND AND CONTROL AND INFORMATION SYSTEM
NMCM,Naval Mine Countermeasures
NMICC,NATO MARITIME INTELLIGENCE CO-ORDINATION CENTRE
NMIOTC,Maritime Interdiction Operations Training Centre
NMOS,NATO MARITIME OPINTEL SYSTEM
NMR,NATIONAL MILITARY REPRESENTATIVE
NMS,NATO Messaging System
NMSG,Nato Modeling and Simulation Group
NMW,Naval Mine Warfare
NMWPERAP,Naval Mine Warfare Planning Evaluation and Risk Assesment Panel
NMW IER,NMW Information Exchange Requirement
NMWWG ,Naval Mine Warfare Working Group 
NNA,NATO Net Assessment
NNAG,NATO Naval Armaments Group
NNEC,NATO Network Enabled Capability
NNGG,NNEC Global information Grid
NNIS,NNEC Info Sphere
NNPS,NATO NUCLEAR PLANNING SYSTEM
NNSA,US National Nuclear Security Administration 
NNTCN,NON-NATO TROOP CONTRIBUTING NATION
NOAH,NORWEGIAN ADAPTED HAWK
NOB,NAVAL ORDER OF BATTLE
NOFUN,NO FIRST USE OF NUCLEAR WEAPONS
NOI,Notification of Intent
NOIS,NATO OPERATIONAL INTEROPERABILITY STANDARDS
NOO ,Naval Oceanographic Office (US) 
NOP,NUCLEAR OPERATION PLAN
NORCCIS,Norwegian CCIS
NORNORTHWEST,MARITIME FORCES NORTH NORTHWEST
NOS,NATO OFFICE OF SECURITY
NOTACK,NO ATTACK AREA
NOTAM,NOTICE TO AIRMEN
NOTS,NATO Off-The-Shelf 
NOVE (1) ,Networked Operations in a Virtual Environment (follow-on to MTDS)
NOVE (2),Networked Operations in a Virtual Environment (since JUL 05: NATO SMART for NATO Simulated Mission And Rehearsal Training)
NPC,Nato Pipeline Comm
NPC,NATO Programming Center
NPEDP,NATO-PLUS EXERCISE DIRECTIVE AND PROGRAMME
NPG,NUCLEAR PLANNING GROUP
NPIS,NATO PROCEDURAL INTEROPERABILITY STANDARDS
NPLO,NATO PRODUCTION AND LOGISTICS ORGANISATION
NPM,NUCLEAR PLANNING MANUAL
NPS,NATO PRECAUTIONARY SYSTEM
NPS,Naval Postgraduate School
NPT,Non Proliferation Treaty
NRC,NATO Russia Council
NRC CAI,NATO Russia Council Cooperative Airspace Initiative
NRC CEP,NATO Russia Council Civil Emergency Planning
NRC DEF,NATO Russia Council Defence Experts
NRC LOG,NATO Russia Council  Logistics
NRC MR,NATO-Russia Council at Military Representatives' Level [has replaced PJC-MR]
NRC MR/CS,NATO-Russia Council at Military Representatives' Level in Chief of Staff Session
NRC MR/PS,NATO-Russia Council at Military Representatives' Level Permanent Session
NRC NUCL,NATO Russia Council  Nuclear Issues
NRC PK,NATO Russia Council  Peacekeeping
NRC PROL,NATO Russia Council  Proliferation
NRC REF,NATO Russia Council  Defence Reform
NRC TER,NATO Russia Council  Terrorism
NRC TMD,NATO Russia Council  Theatre Missile Defence
NRDC,NATO Rapid Deployment Corps
NRF ,NATO Response Force 
NRFC,NATO Reserve Forces Committee
NRL ,Naval Research Laboratory (US) 
NRS WG,NATO Range Safety Working Group 
NRV,NATO Research Vessel
NS WG,NATO Shipping Working Group 
NS(O),NATO School (Oberammergau)
NSA,NATO Strategic Overview
NSA,NATO Standardization Agency
NSB,NATO Signal Battalions 
NSB,Nato Security Board
NSC,NATO Security Committee
NSE,NATIONAL SUPPORT ELEMENT
NSG,NATO Support Group
NSG,NATO STANDARDISATION GROUP
NSI,NUCLEAR SAFETY/SECURITY INSPECTION
NSIP,NATO Security Investment Programme
NSLB,NATO Standardization Liaison Board
NSMART,NATO Simulated Mission And Rehearsal Training
NSO,NATO Standardization Organization
NSP,NUCLEAR STRIKE PLAN
NSP2K,NATO SATCOM Post-2000 
NSR,NATO STAFF REQUIREMENT
NSSG,NATO Standardization Staff Group
NSSM ,Navy Standard Surf Model 
NST,NATO Staff Target
NSTR,nothing significant to report
NSTR,NOTHING SUBSTANTIAL TO REPORT
NSVN,NATO SECURE VOICE NETWORK
NTC,NATO Training Centre
NTCT,NATO Training & Coordination Team
NTDB,NATO TERMINOLOGY DATABASE
NTDI,NATO TARGET DATA INVENTORY
NTEC,NATO Training and Exercise Conference
NTECG,Nato Training and Equipment Co-ordination Group (related to the training in Iraq)
NTFOR-I,Nato Training Force in Iraq
NTG,NATO Training Group
NTG,NAVAL TASK GROUP
NTIB,NATO TACTICAL INFORMATION BROADCAST
NTIM-I,NATO Training Implementation Mission in Iraq
NTIS,NATIONAL TECHNICAL INFORMATION SERVICE
NTIS,NATO TACTICAL INTEROPERABILITY STANDARDS
NTL,NATO Task List
NTM,Notice to Move
NTM,NOTICE TO MOVE
NTM,Notice to Move - set at 5 to 30 days for NRF
NTM-I,NATO Training Mission in Iraq 
NTOMS ,NATO Tactical Ocean Modelling System 
NTR,NOTHING TO REPORT
NTRL,NATO Technology Readiness Levels 
NTTS,NATO TERRESTRIAL TRANSMISSION SYSTEM
NUC,NATO Ukraine Commission
NUMAST ,Navigating Union of Masters 
NURC,NATO Undersea Research Centre (ex SACLANTCENTRE)
NUWC ,Naval Underwater Warfare Centre 
NVSN,NATO VOICE SWITCHING NETWORK
NWC ,Netcentric Warfare Concept 
NWOO,NATO WARTIME OIL ORGANIZATION
NWRA,NATO WARTIME REFUGEES AGENCY
NWRECRB,NORTH WEST REGION COORDINATION AND REVIEW BOARD
NWRP,NUCLEAR WEAPON RELEASE PROCEDURES
NWS,Nuclear Weapons States
NWSY,Naval Weapons Station Yorktown 
O&M,OPERATIONS AND MAINTENANCE
O&M,Operations and Manpower
O/CMC,Offices of CMC
O/DCMC,Offices of DCMC
O/DIMS,Offices of EXCO
O/EXCO,Offices of DIMS 
OA,Operation Analysis
OA,Operational Area
OA,Overarching Architecture 
OAB,Operational Analysis Branch 
OAE,OPERATION ACTIVE ENDEAVOUR
OAS,OFFENSIVE AIR SUPPORT
OB,ORDER OF BATTLE
OBB,Objectives Based Budgeting 
OBE,Overtaken By Event
OBM,ORBITAL BALLISTIC MISSILE
OC,Office Call
OCA,OFFENSIVE COUNTER AIR
OCC,Operational Capabilities Concept
OCD,Operational Concept Development
OCE,OFFICER CONDUCTING EXERCISE
OCEANLANT,OCEAN SUB-AREA
OCO,OPERATING AND CONTROL ORGANISATION
OE,Operational Experimentaion
OE&LP,"Operations, Exercise and Logistics Plans "
OEF,Operation Enduring Freedom
OEX ,Ocean Explorer 
OFT,Office for Force Transformation 
OGC,Open Geospatial Consortium
OIF,Operation Iraqi Freedom
OIP,Outline Implementation Plan 
OJT,on-the-job-training 
OLRT,Operational Liaison and Reconnaissance Team (JFC Naples)
OMC-A,Office of Military Cooperation Afghanistan 
OMCM,Organic Mine Countermaeasures
OMFTS,Operational Manoeuvre From The Sea
OMG,OPERATIONAL MANOEUVRE GROUP
ONA,Operational Net Assessment  
ONR ,Office of Naval Research (US) 
ONST,Outline NATO Staff Target
OOA,OUT OF AREA
OOTW,OPERATIONS OTHER THAN WAR
OOV,OBJECT OF VERIFICATION
OP,OBSERVATION POST/OPERATION
OPC,Operational Planners Course
OPCOM,OPERATIONAL COMMAND
OPCON,OPERATIONAL CONTROL
OPEC,OVERALL NATO/PFP EXERCISE CONCEPT
OPEVAL,Operational Evaluation
OPG,Operational Planning Group
OPLAN,OPERATIONAL PLAN
OPM,ACT Outputs-by-Priotities Matrix
OPM,Outputs-by-Priotities Matrix
OPORD,Operations Order
OPP,Operational Planning Process
OPR,Office/ Officer of Primary Responsibility
OPRB,(ACE) OPERATIONAL PLANNING REVIEW BOARD
OPREH,Operational Rehearsal
OPSEC,OPERATIONAL SECURITY
OPSEC,Operations Security
OPTAG,Operational Training and Advisory Group
OR ,Operations Research 
ORBAT,ORDER OF BATTLE (REPORT)
ORBATOSEA,ORDER OF BATTLE OF SEA
ORBATTOA,Order of Battle TOA
ORF,Operational Reserve Forces
ORTP,OPERATIONAL READINESS TEST PROGRAMME
OSA,OPERATIONAL SUPPORT AIRCRAFT
OSCE,ORGANIZATION FOR SECURITY AND COOPERATION IN EUROPE
OSD,?
OSE,OFFICER SCHEDULING EXERCISE
OSE ,Operational Support and Experimentation 
OSI,ON-SITE INSPECTION
OSI,OTHER SECURITY INTEREST
OSIS,OCEAN SURVEILLANCE AND INFORMATION SYSTEM
OSIS ,Open Source Information System
OSS,Operational Support System
OSSP,Operational System Support Plan 
OST,Office of Security Transition
OT&E,Operational Test & Evaluation
OTC,OFFICER IN TACTICAL COMMAND
OTH,OVER THE HORIZON
OTHF,Over the Horizon Forces 
OTH-T GOLD,OVER THE HORIZON-TARGETING GOLD
P&E,Planning and Evaluation 
P&P,Plans and Policy
PA,Political Affairs
PA,Public Affairs
PADP,Panel on Air Defence Philosophy
PADS,Portable AIR DEFENCE SYSTEM
PADW,Panel on Air Defence Weapons
PAIS,PROTOTYPE ACE INTELLIGENCE SYSTEM
PAL,PERMISSIVE ACTION LINK
PANS OPS,Procedures for Air Navigation Services - Aircraft Operations
PAP,Project Activity Plan
PAPS ,Phased Armaments Planning System
PARP,(PfP) Planning and Review Process 
PARS,PHASED ARMAMENTS PROGRAMMING SYSTEM
PATB,POLICE ANTI-TERRORISM BRIGADE
PAX,PASSENGERS
PBIST,(NATO) Planning Board on Inland Surface Transport
PBOS,(NATO) Planning Board on Ocean Shipping
PC,Permanent Criteria
PC,Percentage Clearance
PC,Political Committee
PC ,Personal Computer 
PCAL,Prioritised Critical Asset List
PCC,Programme Control Cell 
PCC,Partnership for Peace Coordination Cell
PCC,Prague Capabilities Commitments
PCG,Political Committee Group
PCI,Pavement Condition Index
PCN,Pavement Classification Number 
PCON,Programme Controller
PCT,Protective Content Type 
PDD,Public Diplomacy Division
PDR,Project Definition Report
PDSS,Persons Designated Special Status 
PE,PEACETIME ESTABLISHMENT
PE,Peacetime Establishment 
PE ,Planning and Evaluation 
PE FR,Peacetime Establishment Functional Review 
PEC,PROVISIONAL ELECTION COMMISSION
PEL,Prioritised Effects List 
PEO,Peace Enforcement Operations
PERAP ,"Planning, Evaluation and Risk Assessment Panel "
PERMREP,PERMANENT REPRESENTATIVE TO NAC
PERSREP,Personnel Report
PES,Principal Expenditure Sectors 
PfP,PARTNERSHIP FOR PEACE
PG,Partnership Goal
PGM ,Precision Guided (Am)munition/ Missiles
PHIB,AMPHIBIOUS
PHIBSTRIKFOR,AMPHIBIOUS STRIKING FORCE
PHQ,Parent Headquarters
PHQ,PEACE HEADQUARTERS
PI,PUBLIC INFORMATION
PIC,PUBLIC INFORMATION Center
PIC,PEACE IMPLEMENTATION COUNCIL
PID,Project Integratin Document
PIFWC,PERSON INDICTED FOR WAR CRIMES
PIM,POSITION AND INTENDED MOVEMENT
PIMS,PARTNERS INFORMATION MANAGEMENT SYSTEM (PfP)
PIO,Public Information Office/Officer
PIP,Project Initiation Proposal
PIR,PRIORITY INTELLIGENCE REQUIREMENT
PJC,PERMANENT JOINT COUNCIL
PKI,Public Key Infrastructure 
PL ,Project Leader 
P-LAN,Partnership-Local Area Network 
PLANET,Planning Expert Tool
PLT,PLANNING AND LIAISON TEAM
PM,Programme Manager
PMB,Programme Management Board
PME,PRINCIPAL MISSION ELEMENTS
PMESII,"Political, Military, Economic, Social, Information, Infrastructure"
PMG,PARTY MEETING
PMO,Programme Management Office
PMR,Periodic Mission Review
PMSC,POLITICAL MILITARY STEERING COMMITTEE
PMSC/ PARP,PolMil Steering Committee/ PARP
PMSC/ PfP,PolMil Steering Committee/ PfP
PMT,Project Management Team
PO,Private Office
PO,Peace Operation
PO,Project Officer
POA&M,Plan of Action and Milestones
POAM,Programme of Actions and Milestones
POC,POINT OF CONTACT
POD,PORT OF DEBARKATION
POE,POINT OF ENTRY
POE,PORT OF EMBARKATION
POI,Programme of Instruction 
POL,"PETROLEUM, OIL AND LUBRICANTS"
POLAD,Political Advisor
POMCUS,PRE-POSITIONED ORGANISATIONAL MATERIAL CONFIGURED IN UNIT SETS
POMV,Privately Owned Motor Vehicle
POP,Points of Presence 
POS,Principal Output Sectors 
POW,PRISONER OF WAR
POW ,Programme Of Work 
POW MIA,PRISONER OF WAR - MISSING IN ACTION
PP,Plans and Policy
PPR,Product Progress Report
PPT,Power Point
PRB,POLICY REVIEW BOARD
Pre-IPC,PRE-INITIAL PLANNING CONFERENCE
PRIME,"Partnership Real-Time Information, Management & Exchange system"
PRS,Proud Mine Sonar
PRSB,POLICY REVIEW SUB-BOARD
PRT,Provincial Reconstruction Team
PRT,Pulse Repetition Time
PS,Permanent Session
PS,Planning Situation
PSC,PRINCIPAL SUBORDINATE COMMANDER
PSE,PfP Support Element
PSI,Proliferation Security Initiative
PSO,PEACE SUPPORT OPERATIONS
PSO,PRINCIPAL STAFF OFFICER
PSOT,Peace Support Operations Tools
PSU ,Pennsylvania State University 
PSYOPS,PSYCHOLOGICAL OPERATIONS
PTC,PfP Training Centre (or Partner Education and Training Centre) 
PTL,Prioritized Target List
PTT,"POST, TELEPHONE, TELEGRAPH"
PVO,RUSSIAN DESIGNATION FOR AIR DEFENCE
PWC,PRINCIPAL WARFARE COMMANDER
PWC,Public Works Centre 
PWG,PERMANENT WORKING GROUP
PWHQ,PRIMARY WAR HEADQUARTERS
PWO,Partnership Work Programme
PWP,PARTNERSHIP WORK PROGRAMME
QA ,Quality Assurance 
QRA,QUICK REACTION ALERT (AIRCRAFT)
QRF,QUICK REACTION FORCE
R&D ,Research and Development 
R&L,Resources and Logistics
R&T,Research and Technology
RA,REAR AREA
RA,REINFORCED ALERT
RAB,Research Advisory Board
RADARSAT ,Radar Satellite 
RADHAZ WG,Radio and Radar Radiation Hazards Working Group
RAF,Resource Allocation Figure
RAL,Required Action List 
RAMs,Random Antiterrorism Measures
RAMICS,Rapid Airborne Mine Clearance System
RAP,RECOGNIZED AIR PICTURE
RAP,Recognized Air Picture
RAS,REPLENISHMENT AT SEA
RAS WG,Replenishment At Sea Working Group 
RASP,RECOGNIZED AIR AND SURFACE PICTURE
RASP,Recognized Air Surveillance Picture
RC,REGIONAL COMMAND (FORMER MSC)
RCC,RESCUE COORDINATION CENTER
RCIED,Remote-Controlled Improvised Explosive Device
RCIMS,Remote Controlled Influence Mine sweeping System
RCPI,"Required Capabilities, Planning & Implementation"
RCS,REGIONAL COMMUNICATIONS SERVER
RDF,RAPID DEPLOYMENT FORCE
RDR,RADAR
REA ,Rapid Environmental Assessment 
RECCE,RECONNAISSANCE
RECON,RECONNAISSANCE
REGT,REGIMENT
REMUS ,Remote Environmental Monitoring (Measurement) UnitS (AUV) 
REP ,Recognized Environmental Picture 
REP ,Rapid Enviromental Picture
RF,REACTION FORCE(S)
RF ,Radio Frequency 
RF(A)S,REACTION FORCE AIR STAFF
RFI,REQUEST FOR INFORMATION
RFI,Request for Information
RFIMS,REQUEST FOR INFORMATION MANAGEMENT SYSTEM
RFP,Request for Proposal 
RGP,Recognized Ground Picture
RHAW,RADAR HOMING AND WARNING
RHD,REMOVABLE HARD DRIVE
R-HOUR,THE HOUR AT WHICH RETALIATION IS AUTHORIZED
RHQ,REAR HEADQUARTERS
RIAB ,Rapid Environmental Assessment In A Box 
RIMPAC,Rim of the Pacific
RIPLE,RECONNAISSANCE INDICATION PLANNING LINE
RLP,Recognized Logistics Picture
RLS,Real Life Support
RLT,REGIMENTAL LANDING TEAM
RMP,Recognized Maritime Picture
RMS,Remote Minehunting System
RNLNC ,Royal Netherlands Naval College 
RO/RO,ROLL-ON/ROLL-OFF
ROA,RADIUS OF ACTION
ROE,RULES OF ENGAGEMENT
ROEREQ,RULES OF ENGAGEMENT REQUEST
ROSS,RUSSIAN OCEAN SURVEILLANCE SYSTEM
ROV ,Remotely Operated Vehicle 
ROZ,RESTRICTED OPERATING ZONE
RPCS,Resource Policy Coordination Section
RPD,Riverine Patrol Directorate
RPG,Regional Planning Guide
RPG,Rocket-Propelled Granade
RPT,Provisional Reconstruction Team 
RPV,REMOTELY PILOTED VEHICLE
RRF,RAPID REACTION FORCES (AIR) (LAND)
RRIS,Resource Requirement Impact Statement
RRP,RAPID REINFORCEMENT PLAN
RRR,Risk Reduction Report 
RRS,Readiness Reporting System
RS,SERBIAN REPUBLIC
RSC,Rear Support Cmd
RSGS,REGIONAL SIGNAL GROUP SHAPE
RSN,"Reconnaissance, Surveillance and Networks"
RSN,Role Specialist Nation
RSN ,"Undersea Reconnaissance, Surveillance and Networks "
RSOM,"Reception, Staging and Onward Movement "
RSOM & I,"Reception, Staging and Onward Movement & Integration"
RSOM&I,"Reception, Staging and Onward Movement and Integration "
RSOMI,"Reception, Staging and Onward Movement and Integration "
RSTA,"Reconnaissance, Surveillance and Target Acquisition"
RSTA ,"Reconnaissance, Surveillance and Target Assessment "
R&T,Research Technology
RT&D,Research Technology & Development 
RTA,Research and Technology Agency
RTA,ROAD TRAFFIC ACCIDENT
RTB,Research and Technology Board
RTF,Review Task Force
RTG,Research Task Group
RTL,ROLLING TARGET LINE
RTL,ROLLING TARGET LIST
RTNC,RETURNED TO NATIONAL CONTROL
RTO ,Research and Technology Organisation 
RTS,REGIONAL TERMINAL SERVER
RV,RE-ENTRY VEHICLE
RV ,Research Vessel 
RWG,REGIONAL WORKING GROUP
RWR,RADAR WARNING RECEIVER
RWY,RUNWAY
S.M.A.R.T.,"Specific, Measurable, Achievable, Realistic and Timed"
SA,Situational Awareness
SA,Situational Awareness
SA,Security Assistance
SA,SIMPLE ALERT
SABRE,Shallow Water Breaching System
SAC,SCENE OF ACTION COMMANDER
SAC,STRATEGIC AIR COMMAND
SACC,SUPPORTING ARMS CO-ORDINATION CENTRE
SACEUR,SUPREME ALLIED COMMANDER EUROPE
SACEUREP,SACEUR REPRESENTATIVE TO MC
SACLANT,SUPREME ALLIED COMMANDER ATLANTIC
SACLANTCEN ,Saclant Undersea Research Centre 
SACLANTREPEUR,SACLANT REPRESENTATIVE IN EUROPE
SACT,Supreme Allied Command Transformation
SACTREPEUR,SACT Representative in Europe 
SAF,SMALL ARMS FIRE
SALIS,Strategic Airlift Interim Solution 
SALT,STRATEGIC ARMS LIMITATION TALKS
SAM,SURFACE-TO-AIR MISSILE
SAP,Semi-Armoured Piercing shell
SAR,Synthetic Aperture Radar
SAR,SEARCH AND RESCUE
SARP,Search and Rescue Panel 
SAS,"Studies, Analysis and Simulation "
SAS,Special Ammunition Storage
SAS,Situational Awareness System
SAS,Synthetic Aperture Sonar
SASE,Safe And Secure Environment 
SAT,Sea Acceptence Test
SAT ,Systems Approach to Training
SATCOM,Satellite Communications 
SAV,Staff Assisted Visit
SAWHQ,SHAPE ALTERNATIVE WAR HEADQUARTERS
SB,Standby Battalion
SBIS,Content Based Information Security 
SBS,Satellite Broadcast Services / System
SC,Strategic Command(er) 
SCA,Strategic Concepts Analysis 
SCA,Ship Controlled Approach
SCARS,STATUS CONTROL ALERT REPORTING SYSTEM
SCARS,"Status, Control, Alerting and Reporting System"
SCC,SHAPE COMMAND CENTRE
SCC,SURVEILLANCE CO-ORDINATION CENTRE
SCD,Senior Concept Developers
SCD,Senior Concept Developer
SCEPC,SENIOR CIVIL EMERGENCY PLANNING COMMITTEE
SCI ,Systems Concepts and Integration (RTO Panel) 
SCIP,Secure Communications Interoperability Protocol 
SCIP,Strategic Commander' Identification Panel
SCMF,SACEUR’S CONCEPTUAL MILITARY FRAMEWORK
SCMM,STANDING COMMITTEE ON MILITARY MATTERS
SCNR,Scientific Committee of National Representatives
SCOM,Science Committee
SCPI,"Strategic Concepts, Policy and Interoperabilty"
SCR,Software Change Request
SCR,United Nations Security Council Resolution
SCR,Senior Civilian Representative 
SD&IC,SYSTEM DESIGN & INTEGRATION CONTRACT
SDC,STRATEGIC DIRECTION CENTRE
SDI,STRATEGIC DEFENCE INITIATIVE
SDQ,STANDARDISATION DEFICIENCY QUESTIONAIRE
SDR,Software Defined Radio 
SDSS,Secure Data Spreading System
SDV ,Swimmer Delivery Vehicle 
SE,Strategic Engagement
SEA,Scientific and Environmental Affairs
SEAD,SUPPRESSION OF ENEMY AIR DEFENCES
SECDEF,SECRETARY OF DEFENCE
SECGEN,SECRETARY GENERAL
SEE,Standing Experimental Environment
SEE,(ACT) Staff Element Europe (“footprint”)
SEE IPT,Staff Element Europe IPT 
SEI,Strategic Engagement Initiative
SEP,SELECTIVE EMPLOYMENT PLAN
SEP,Strategic Engagement Plan
SEPTR ,Shallow Water Environmental Profiler in Trawl Safe mode 
SERE,"Survival, Evasion, Resistance, Escape"
SESS,SURFACE EFFECT SURFACE SHIP
SET ,Sensors and Electronic Technology (RTO Panel) 
SEVENATAF,SEVENTH ALLIED TACTICAL AIR FORCE
SEWG,Strategic Engagement Working Group
SFM ,Secure Formal Messaging
SFOR,Stabilizing Force
SG,Secretary General
SGP,Senior Group on Proliferation
SGT,SATELLITE GROUND TERMINAL
SHAPE,Supreme Headquarters Allied Powers Europe
SHED,SPECIAL HANDLING AND EVALUATION DETACHMENT (SEE ALSO SHED-COINS)
SHED-COINS,SHED COMMUNICATIONS AND INFORMATION SYSTEMS
SHF,SUPER HIGH FREQUENCY
SHGM,Strategic High Grade Messaging
SHOC,SHAPE OPERATIONS CENTRE
SHORAD,SHORT-RANGE AIR DEFENCE
SI,Strategic Issues
SICF,FR Land Forces C2 System
SIGINT,SIGNAL INTELLIGENCE
SINS,SHIPS INERTIAL NAVIGATION SYSTEM
SIP,Security Investment Programme
SIP,SACLANT INTELLIGENCE PLAN
SITCC,Standing Iraqi Training Coordination Cell (HQ SACT)
SITCEN,SITUATION CENTRE
SITREP,SITUATION REPORT
SIXATAF,"SIXTH ALLIED TACTICAL AIR FORCE, SOUTHEASTERN EUROPE"
SJFH,Standing Joint Force Headquarters (US)
SJFHQ,Standing Joint Forces HQ
SLAR,SIDE LOOKING AIRBORNE RADAR
SLAs,Service Level Agreements
SLBM,SUBMARINE LAUNCHED BALLISTIC MISSILE
SLC ,SACLANT Undersea Research Centre 
SLCM,SEA LAUNCHED CRUISE MISSILE
SLG,Senior Level Group on PfP Enhancement
SLM,Staff-Level Meeting
SLOC,SEA LINES OF COMMUNICATION
SLOC,Sea Line of Communication
SM,Senior Mentor
SM/ SCD,Senior Mentor/ Senior Concept Developer
SMA,System Management Authority 
SMB,SYSTEM MANAGEMENT BOARD (LOCE)
SME,Subject Matter Expert
SMER WG,Submarine Escape and Rescue Working Group 
SMG,Senior Management Group
SMM,Secure Military Messaging
SMMP,Strategic Military Management Process
SMP,Subordinate Management Plan
SMP ,Seabed Mapping Payload 
SMWG,Strategic Management Working Group
SN,Sponsoring Nation
SN,Sending Nation
SNAFU,"Situation normal, all fouled up"
SNAP,SACEUR'S NUCLEAR ASSESSMENT PROCEDURES
SNARP,SHAPE NUCLEAR ASSESSMENT AND REQUEST PROCEDURE
SNCO,Senior Non Commissioned Officer
SNF,SHORT-RANGE NUCLEAR FORCES
SNFC,STANDING NAVAL FORCE CHANNEL (STANAVFORCHAN)
SNFL,STANDING NAVAL FORCE ATLANTIC (STANAVFORLANT)
SNFM,STANDING NAVAL FORCE MEDITERRANEAN (STANAVFORMED)
SNIC,SNOW & ICE CONTROL
SNLC,Senior NATO Logisticians' Conference
SNO,Senior National Officer
SO,Staff Officer
SO,STANDARDISATION OBJECTIVE
SOA,Special Operations Area
SOC,SECTOR OPERATION CENTRE
SOCC,SECTOR OPERATION CONTROL CENTRE
SOCCE,SPECIAL OPERATIONS COMMAND AND CONTROL ELEMENT
SOF,SPECIAL OPERATIONS FORCES
SOF,Statement of Function 
SOFA,STATUS OF FORCES AGREEMENT
SOG,Senior Officials Group
SOIPs,Sub-Ordinate Implementation Plans
SOJ,STAND OFF JAMMING
SOLAS ,Safety of Life At Sea 
SOLMAR ,Sound Oceanography and Living Marine Resources 
SOP,STANDARD OPERATING PROCEDURE
SOP,Standard Operating Picture
SOR,Statement of Requirement
SOR ,Statement of Operational Requirements 
SoSA,System of Systems Analysis
SOSA,System of Systems Analyst
SOSB,Support and Operations Steering Board
SOSP,SENIOR OFFICERS STUDY PERIOD
SOTR,Statement of Training Requirements
SOTR,Statement of Operational and Transformational Requirements
SOTRR,Bi–SC Statement of Operational and Transformational Research Requirements 
SOTRR ,Statement of Operational and Transformational Research Requirements 
SOW,STATEMENT OF WORK
SPA,SUBMARINE PATROL AREA
SPAWAR,Space and Naval Warfare System Command
SPAWAR ,Space and Naval Warfare Systems 
SPC,Senior Political Committee
SPC/R,Senior Political Committee/ Reinforced
SPINS,Special Instructions
SPM,Strategic Planning Management
SPM ,Sonar Performance Model 
SPO,SACT's Prioritized Objectives
SPO,Strategic Priorities and Objectives
SPOD,Sea Port of Debarkation
SPOE,SEA PORT OF EMBARKATION
SPOW ,Scientific Programme of Work 
SPS,SELF PROTECTION SYSTEMS
S-PVDS,Self Porpelled Variable Depth Sonar
SR,SOUTHERN REGION
SR,STANDARDISATION REQUIREMENT(S)
SR,STRATEGIC RESERVE
SRA,Suitability and Risk Assessment 
SRAM,SHORT-RANGE ATTACK MISSILE
SRB,Senior Resources Board
SRBM,SHORT-RANGE BALLISTIC MISSILE
SREC,SOUTHERN REGION EXERCISE CONFERENCE
SRF,Strategic Reserve Forces
SRF,STRATEGIC ROCKET FORCES (USSR)
SRT,STRATEGIC ROCKET TROOPS
SRV,Search and Rescue Vehicle
SSBN,SUBMARINE BALLISTIC NUCLEAR
SSC,Security Spot Check
SSIP,Specific Strategic Implimentation Plan
SSK,SUBMARINE CONVENTIONAL
SSM,Safety and Suitability of Munitions
SSM,SACT Staff Meeting
SSM,SURFACE-TO-SURFACE MISSILE
SSN,SUBMARINE NUCLEAR
SSP,SCHEDULED STRIKE PROGRAMME
SSR(A),SACEUR'S STRATEGIC RESERVE (AIR)
SSR(L),SACEUR'S STRATEGIC RESERVE (LAND)
SSRS,Staff Summary Routing Sheet
SSS ,Sidescan Sonar
STANAG,NATO Standardization Agreement
STANAVFORCHAN,STANDING NAVAL FORCE CHANNEL (closed)
STANAVFORLANT,STANDING NAVAL FORCE ATLANTIC
STANAVFORMED,STANDING NAVAL FORCE MEDITERRANEAN
START,STRATEGIC ARMS REDUCTION TALKS
STC,SHAPE Technical Center
STOL,SHORT TAKE-OFF AND LANDING (AIRCRAFT)
STOM ,Ship to Objective Manouevre 
STRAP,Standardization Tasking Review Analysis Programme
STRATMAN,Strategic Management
STRE,SACT REPEUR
STRIKFLTLANT,STRIKING FLEET ATLANTIC
